investment_id,user_id,investment_date,product_type,investment_mode,amount_inr
700000,NV400002,2026-01-16,Mutual Fund - Equity,SIP,3190.46
700001,NV400006,2026-01-04,Mutual Fund - Equity,Lumpsum,4830.32
700002,NV400006,2026-05-08,ETF,Lumpsum,4924.95
700003,NV400008,2026-01-13,Mutual Fund - Debt,SIP,4121.47
700004,NV400010,2026-01-22,Mutual Fund - Equity,SIP,4269.8
700005,NV400011,2026-01-04,Mutual Fund - Equity,SIP,1828.76
700006,NV400012,2026-01-11,ETF,SIP,4930.42
700007,NV400012,2026-02-02,Mutual Fund - Debt,Lumpsum,5972.88
700008,NV400014,2026-01-25,Direct Stocks,SIP,3724.47
700009,NV400014,2026-06-01,ETF,SIP,2428.87
700010,NV400016,2026-01-29,Mutual Fund - Hybrid,SIP,1815.8
700011,NV400018,2026-01-20,Direct Stocks,Lumpsum,19722.18
700012,NV400022,2026-01-26,Mutual Fund - Equity,SIP,1912.5
700013,NV400023,2026-01-31,Mutual Fund - Debt,SIP,2783.43
700014,NV400027,2026-01-10,Direct Stocks,Lumpsum,30033.71
700015,NV400030,2026-01-21,Mutual Fund - Equity,Lumpsum,8965.06
700016,NV400032,2026-01-19,Mutual Fund - Equity,SIP,1466.36
700017,NV400033,2026-01-10,ETF,SIP,3849.59
700018,NV400035,2026-01-11,Mutual Fund - Hybrid,Lumpsum,23914.45
700019,NV400036,2026-01-19,Mutual Fund - Debt,Lumpsum,7604.65
700020,NV400038,2026-01-24,Mutual Fund - Equity,Lumpsum,12986.09
700021,NV400039,2026-01-27,Mutual Fund - Debt,SIP,5181.51
700022,NV400039,2026-04-16,Mutual Fund - Equity,Lumpsum,3063.43
700023,NV400040,2026-01-30,ETF,SIP,6826.41
700024,NV400041,2026-01-28,Mutual Fund - Equity,Lumpsum,6741.13
700025,NV400044,2026-01-10,Mutual Fund - Debt,Lumpsum,15846.4
700026,NV400044,2026-05-12,ETF,Lumpsum,8231.57
700027,NV400051,2026-02-01,Mutual Fund - Equity,SIP,2412.11
700028,NV400053,2026-01-20,Direct Stocks,SIP,1658.69
700029,NV400053,2026-05-31,Mutual Fund - Debt,SIP,1418.42
700030,NV400054,2026-01-13,Mutual Fund - Equity,SIP,1799.74
700031,NV400062,2026-01-21,Mutual Fund - Equity,SIP,5567.11
700032,NV400063,2026-01-22,Mutual Fund - Debt,Lumpsum,25815.76
700033,NV400066,2026-01-12,Mutual Fund - Equity,Lumpsum,14165.1
700034,NV400069,2026-01-15,Mutual Fund - Equity,SIP,3553.78
700035,NV400072,2026-01-31,Mutual Fund - Equity,Lumpsum,17722.0
700036,NV400072,2026-04-20,Mutual Fund - Debt,SIP,1603.09
700037,NV400073,2026-01-25,Mutual Fund - Hybrid,SIP,6394.63
700038,NV400074,2026-01-24,Mutual Fund - Equity,SIP,5615.92
700039,NV400075,2026-01-21,Mutual Fund - Debt,SIP,2835.89
700040,NV400076,2026-01-07,Mutual Fund - Equity,Lumpsum,14331.1
700041,NV400080,2026-01-17,Mutual Fund - Debt,Lumpsum,12362.55
700042,NV400081,2026-01-09,Mutual Fund - Equity,SIP,3295.75
700043,NV400083,2026-01-13,Mutual Fund - Hybrid,SIP,6024.04
700044,NV400083,2026-03-25,Direct Stocks,SIP,985.22
700045,NV400084,2026-01-21,ETF,SIP,2085.66
700046,NV400084,2026-05-31,Mutual Fund - Hybrid,SIP,1880.82
700047,NV400085,2026-01-15,Mutual Fund - Debt,Lumpsum,6119.92
700048,NV400086,2026-01-12,Mutual Fund - Debt,Lumpsum,12200.73
700049,NV400086,2026-02-20,Mutual Fund - Hybrid,SIP,3718.91
700050,NV400087,2026-01-02,Mutual Fund - Debt,SIP,2458.5
700051,NV400088,2026-01-10,Mutual Fund - Equity,SIP,4277.51
700052,NV400090,2026-01-09,ETF,SIP,2311.13
