redemption_id,user_id,redemption_date,product_type,amount_inr,is_correction_period
950000,NV400014,2026-05-13,Direct Stocks,6086.07,True
950001,NV400016,2026-06-18,Mutual Fund - Hybrid,1733.15,True
950002,NV400032,2026-05-10,Mutual Fund - Equity,8202.46,True
950003,NV400033,2026-02-14,ETF,5139.42,False
950004,NV400041,2026-02-11,Mutual Fund - Equity,31599.86,False
950005,NV400074,2026-03-04,Mutual Fund - Equity,11138.0,False
950006,NV400074,2026-05-05,Mutual Fund - Equity,5348.98,True
950007,NV400085,2026-01-07,Mutual Fund - Debt,5012.39,False
950008,NV400101,2026-05-16,Mutual Fund - Debt,6603.91,True
950009,NV400123,2026-03-06,Mutual Fund - Debt,4048.7,False
950010,NV400125,2026-05-15,Direct Stocks,2073.74,True
950011,NV400136,2026-05-15,Mutual Fund - Equity,7230.89,True
950012,NV400147,2026-05-12,Mutual Fund - Hybrid,2823.13,True
950013,NV400148,2026-05-07,ETF,3274.41,True
950014,NV400153,2026-02-15,Mutual Fund - Debt,1098.0,False
950015,NV400157,2026-01-21,Mutual Fund - Debt,5080.34,False
950016,NV400157,2026-02-12,Mutual Fund - Debt,1994.92,False
950017,NV400158,2026-06-03,Mutual Fund - Equity,8124.64,True
950018,NV400160,2026-05-13,Direct Stocks,9375.94,True
950019,NV400166,2026-03-20,Direct Stocks,5358.35,False
950020,NV400169,2026-04-09,ETF,4992.76,False
950021,NV400187,2026-04-08,Mutual Fund - Equity,3415.26,False
950022,NV400198,2026-07-06,Mutual Fund - Equity,3108.44,False
950023,NV400199,2026-06-05,Mutual Fund - Equity,4376.67,True
950024,NV400206,2026-01-11,Mutual Fund - Equity,32315.95,False
950025,NV400220,2026-05-21,Direct Stocks,30531.78,True
950026,NV400220,2026-07-24,Direct Stocks,2833.02,False
950027,NV400226,2026-01-04,Mutual Fund - Equity,2874.46,False
950028,NV400226,2026-05-14,Mutual Fund - Equity,1705.1,True
950029,NV400227,2026-05-14,Mutual Fund - Equity,1172.31,True
950030,NV400234,2026-07-04,Mutual Fund - Equity,2829.4,False
950031,NV400237,2026-03-06,Mutual Fund - Equity,5559.99,False
950032,NV400238,2026-05-13,Mutual Fund - Equity,4684.62,True
950033,NV400262,2026-05-09,Direct Stocks,13144.94,True
950034,NV400264,2026-07-09,Direct Stocks,3428.83,False
950035,NV400265,2026-07-16,Mutual Fund - Debt,4375.22,False
950036,NV400266,2026-07-17,Mutual Fund - Equity,12845.44,False
950037,NV400283,2026-05-18,Mutual Fund - Debt,9966.63,True
950038,NV400290,2026-05-03,Mutual Fund - Hybrid,1674.29,True
950039,NV400310,2026-02-22,Mutual Fund - Equity,2977.3,False
950040,NV400326,2026-03-17,Mutual Fund - Equity,3903.71,False
950041,NV400331,2026-03-26,ETF,35607.31,False
950042,NV400335,2026-04-18,Mutual Fund - Equity,3692.94,False
950043,NV400355,2026-03-20,ETF,8170.98,False
950044,NV400376,2026-06-17,Mutual Fund - Hybrid,12675.36,True
950045,NV400397,2026-05-21,Mutual Fund - Debt,8896.26,True
950046,NV400397,2026-06-17,Mutual Fund - Debt,1948.52,True
950047,NV400398,2026-05-13,Mutual Fund - Equity,2150.43,True
950048,NV400419,2026-07-06,Direct Stocks,9973.74,False
950049,NV400461,2026-07-11,Mutual Fund - Equity,4903.75,False
950050,NV400469,2026-03-24,Mutual Fund - Debt,3080.99,False
950051,NV400475,2026-01-04,Mutual Fund - Hybrid,6032.96,False
950052,NV400475,2026-05-10,Mutual Fund - Hybrid,3169.02,True
950053,NV400483,2026-06-11,Mutual Fund - Equity,2931.89,True
950054,NV400500,2026-02-15,Mutual Fund - Debt,2010.04,False
950055,NV400507,2026-01-11,Mutual Fund - Debt,3122.06,False
