user_id,signup_date,signup_month,acquisition_channel,city_tier,age_bracket,risk_profile
NV400000,2026-01-17,2026-01,Organic App Store,Tier 2,18-24,Moderate
NV400001,2026-01-28,2026-01,Organic App Store,Tier 1,25-34,Conservative
NV400002,2026-01-15,2026-01,Organic App Store,Tier 2,45-54,Conservative
NV400003,2026-01-03,2026-01,Organic App Store,Tier 3,25-34,Conservative
NV400004,2026-01-18,2026-01,Paid Ads,Tier 1,18-24,Moderate
NV400005,2026-01-21,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400006,2026-01-03,2026-01,Influencer/Content,Tier 1,35-44,Aggressive
NV400007,2026-01-15,2026-01,Organic App Store,Tier 3,45-54,Conservative
NV400008,2026-01-11,2026-01,Influencer/Content,Tier 2,18-24,Moderate
NV400009,2026-01-21,2026-01,Paid Ads,Tier 2,55+,Moderate
NV400010,2026-01-21,2026-01,Influencer/Content,Tier 1,18-24,Aggressive
NV400011,2026-01-02,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400012,2026-01-06,2026-01,Paid Ads,Tier 1,18-24,Aggressive
NV400013,2026-01-02,2026-01,Organic App Store,Tier 1,35-44,Aggressive
NV400014,2026-01-23,2026-01,Referral,Tier 1,25-34,Moderate
NV400015,2026-01-06,2026-01,Paid Ads,Tier 3,35-44,Aggressive
NV400016,2026-01-27,2026-01,Referral,Tier 2,25-34,Moderate
NV400017,2026-01-30,2026-01,Paid Ads,Tier 3,35-44,Aggressive
NV400018,2026-01-19,2026-01,Paid Ads,Tier 1,35-44,Conservative
NV400019,2026-01-10,2026-01,Paid Ads,Tier 2,25-34,Aggressive
NV400020,2026-01-10,2026-01,Influencer/Content,Tier 1,25-34,Aggressive
NV400021,2026-01-18,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400022,2026-01-25,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400023,2026-01-30,2026-01,Organic App Store,Tier 3,35-44,Moderate
NV400024,2026-01-02,2026-01,Referral,Tier 2,25-34,Aggressive
NV400025,2026-01-22,2026-01,Organic App Store,Tier 3,25-34,Moderate
NV400026,2026-01-04,2026-01,Organic App Store,Tier 2,45-54,Conservative
NV400027,2026-01-07,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400028,2026-01-09,2026-01,Paid Ads,Tier 3,35-44,Conservative
NV400029,2026-01-13,2026-01,Paid Ads,Tier 2,35-44,Conservative
NV400030,2026-01-20,2026-01,Referral,Tier 3,35-44,Conservative
NV400031,2026-01-04,2026-01,Paid Ads,Tier 3,25-34,Conservative
NV400032,2026-01-17,2026-01,Organic App Store,Tier 1,25-34,Moderate
NV400033,2026-01-09,2026-01,Organic App Store,Tier 1,45-54,Moderate
NV400034,2026-01-01,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400035,2026-01-10,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400036,2026-01-15,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400037,2026-01-01,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400038,2026-01-22,2026-01,Organic App Store,Tier 1,35-44,Aggressive
NV400039,2026-01-26,2026-01,Influencer/Content,Tier 2,25-34,Aggressive
NV400040,2026-01-29,2026-01,Organic App Store,Tier 1,55+,Conservative
NV400041,2026-01-27,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400042,2026-01-26,2026-01,Organic App Store,Tier 3,18-24,Aggressive
NV400043,2026-01-16,2026-01,Referral,Tier 1,25-34,Moderate
NV400044,2026-01-10,2026-01,Influencer/Content,Tier 3,35-44,Moderate
NV400045,2026-01-20,2026-01,Referral,Tier 2,25-34,Moderate
NV400046,2026-01-02,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400047,2026-01-18,2026-01,Paid Ads,Tier 1,35-44,Moderate
NV400048,2026-01-18,2026-01,Referral,Tier 2,25-34,Aggressive
NV400049,2026-01-20,2026-01,Referral,Tier 3,25-34,Moderate
NV400050,2026-01-07,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400051,2026-01-30,2026-01,Paid Ads,Tier 2,35-44,Aggressive
NV400052,2026-01-19,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400053,2026-01-18,2026-01,Influencer/Content,Tier 1,25-34,Aggressive
NV400054,2026-01-12,2026-01,Organic App Store,Tier 1,25-34,Conservative
NV400055,2026-01-05,2026-01,Organic App Store,Tier 1,25-34,Moderate
NV400056,2026-01-24,2026-01,Organic App Store,Tier 1,35-44,Aggressive
NV400057,2026-01-21,2026-01,Referral,Tier 3,18-24,Aggressive
NV400058,2026-01-18,2026-01,Organic App Store,Tier 2,35-44,Conservative
NV400059,2026-01-21,2026-01,Organic App Store,Tier 1,25-34,Moderate
NV400060,2026-01-28,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400061,2026-01-26,2026-01,Paid Ads,Tier 2,25-34,Conservative
NV400062,2026-01-20,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400063,2026-01-21,2026-01,Organic App Store,Tier 2,45-54,Moderate
NV400064,2026-01-05,2026-01,Paid Ads,Tier 3,35-44,Moderate
NV400065,2026-01-10,2026-01,Referral,Tier 2,18-24,Conservative
NV400066,2026-01-11,2026-01,Organic App Store,Tier 3,35-44,Conservative
NV400067,2026-01-02,2026-01,Influencer/Content,Tier 2,35-44,Aggressive
NV400068,2026-01-12,2026-01,Organic App Store,Tier 3,35-44,Aggressive
NV400069,2026-01-14,2026-01,Referral,Tier 3,25-34,Conservative
NV400070,2026-01-25,2026-01,Referral,Tier 2,25-34,Moderate
NV400071,2026-01-19,2026-01,Influencer/Content,Tier 1,35-44,Conservative
NV400072,2026-01-30,2026-01,Paid Ads,Tier 2,35-44,Moderate
NV400073,2026-01-23,2026-01,Referral,Tier 2,18-24,Moderate
NV400074,2026-01-23,2026-01,Paid Ads,Tier 3,25-34,Aggressive
NV400075,2026-01-21,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400076,2026-01-06,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400077,2026-01-18,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400078,2026-01-15,2026-01,Influencer/Content,Tier 1,55+,Moderate
NV400079,2026-01-19,2026-01,Organic App Store,Tier 2,45-54,Conservative
NV400080,2026-01-14,2026-01,Referral,Tier 3,25-34,Aggressive
NV400081,2026-01-07,2026-01,Influencer/Content,Tier 1,35-44,Moderate
